V1,V2
X,1051430
X,1051463
X,1051363
X,1051508
X,1052104
X,1052250
X,1051596
X,1052790
X,1051433
X,1051677
X,1051433
X,1051284
X,1052159
X,1051336
X,1051463
X,1051224
X,1051191
X,1051620
X,1051793
X,1051369
X,1051225
X,1051920
X,1051264
X,1051355
X,1051357
X,1051332
X,1051237
X,1052063
X,1051430
X,1052151
X,1051794
X,1051525
X,1051200
X,1051539
X,1051381
X,1051406
X,1051365
X,1051486
X,1051468
X,1051388
X,1051786
X,1051759
X,1051594
X,1051470
X,1051264
X,1051102
X,1051356
X,1051613
X,1052687
X,1050860
X,1051215
X,1051145
X,1051364
X,1051207
X,1051189
X,1051593
X,1052459
X,1051256
X,1052319
X,1051316
X,1051280
X,1051633
X,1051309
X,1051377
X,1051371
X,1051679
X,1051343
X,1051327
X,1051132
X,1050805
X,1051300
X,1051724
X,1050960
X,1050805
X,1051186
X,1051324
X,1051402
X,1052638
X,1051387
X,1051255
X,1051414
X,1051224
X,1051940
X,1051290
X,1052260
X,1051436
X,1051337
X,1051148
X,1051329
X,1051188
X,1050963
X,1051004
X,1051337
X,1051371
X,1052151
X,1051286
X,1051263
X,1051303
X,1051258
X,1051253
X,1052208
X,1051670
X,1052095
X,1051465
X,1051340
X,1051335
X,1051450
X,1051290
X,1051538
X,1051559
X,1051467
X,1051329
X,1051735
X,1051650
X,1051871
X,1052124
X,1051118
X,1051015
X,1051233
X,1051673
X,1051210
X,1053315
X,1051839
X,1051224
X,1051318
X,1051371
X,1052479
X,1051314
X,1051413
X,1051578
X,1051202
X,1051915
X,1051160
X,1052388
X,1051878
X,1051293
X,1051102
X,1051669
X,1051210
X,1051382
X,1050980
X,1051542
X,1052388
X,1051063
X,1051171
X,1051184
X,1051517
X,1050981
X,1051685
X,1051386
X,1051526
X,1051569
X,1052625
X,1051506
X,1051423
X,1052526
X,1051319
X,1051713
X,1051872
X,1052706
X,1051002
X,1051403
X,1051338
X,1051319
X,1051353
X,1052693
X,1051524
X,1051511
X,1051690
X,1051391
X,1052874
X,1051801
X,1051388
X,1051078
X,1051260
X,1050961
X,1051953
X,1051282
X,1051395
X,1051538
X,1051349
X,1051309
X,1051610
X,1051656
X,1051726
X,1052730
X,1051374
X,1051586
X,1051645
X,1051608
X,1052840
X,1051234
X,1051341
X,1051385
X,1051466
X,1052742
X,1051270
X,1051206
X,1051354
X,1051329
X,1052319
X,1051252
X,1051723
X,1051430
X,1051563
X,1051181
X,1051370
X,1051727
X,1051342
X,1051300
X,1051270
X,1052411
X,1051469
X,1051387
X,1051422
X,1051449
X,1052732
X,1051429
X,1052075
X,1051362
X,1051291
X,1051362
X,1051315
X,1051201
X,1051798
X,1051854
X,1051359
X,1051396
X,1051661
X,1051565
X,1051447
X,1051462
X,1051226
X,1052090
X,1051322
X,1051389
X,1051236
X,1051761
X,1051429
X,1051364
X,1051130
X,1051998
X,1051542
X,1051409
X,1051309
X,1051713
X,1051982
X,1051454
X,1051276
X,1051502
X,1051190
X,1051230
X,1051429
X,1051523
X,1051320
X,1051333
X,1051308
X,1051741
X,1051478
X,1051403
X,1051335
X,1051132
X,1051356
X,1051733
X,1051440
X,1051288
X,1051359
X,1051348
X,1051171
X,1052063
X,1051037
X,1052059
X,1051279
X,1051359
X,1051284
X,1051210
X,1051455
X,1051475
X,1051422
X,1051205
X,1051632
X,1051429
X,1051436
X,1051488
X,1052464
X,1051781
X,1051323
X,1051460
X,1051321
X,1051645
X,1051484
X,1051292
X,1051088
X,1051361
X,1051288
X,1051322
X,1053168
X,1050957
X,1051403
X,1051479
X,1051132
X,1051448
X,1051309
X,1051647
X,1051379
X,1051511
X,1051235
X,1051551
X,1051451
X,1051325
X,1051632
X,1051479
X,1052811
X,1052003
X,1051790
X,1051419
X,1051372
X,1052815
X,1051119
X,1051191
X,1051287
X,1051210
X,1051256
X,1051310
X,1051351
X,1052746
X,1051212
X,1051250
X,1051489
X,1051216
X,1051365
X,1052398
X,1051437
X,1051652
X,1051484
X,1051341
X,1052471
X,1051384
X,1051409
X,1051339
X,1051240
X,1051291
X,1051362
X,1051215
X,1051010
X,1053674
X,1051445
X,1051170
X,1051368
X,1051591
X,1051786
X,1051494
X,1052375
X,1051535
X,1051234
X,1051331
X,1051283
X,1051264
X,1051728
X,1052706
X,1051527
X,1051336
X,1051254
X,1051191
X,1052180
X,1051356
X,1051530
X,1051357
X,1051365
X,1051516
X,1052399
X,1051423
X,1052404
X,1051378
X,1051467
X,1051572
X,1051345
X,1051540
X,1051399
X,1051329
X,1051255
X,1051302
X,1051355
X,1051874
X,1050690
X,1051602
X,1051276
X,1051754
X,1051510
X,1051796
X,1051492
X,1051401
X,1051478
X,1051200
X,1051201
X,1051438
X,1051349
X,1051328
X,1052014
X,1051402
X,1051215
X,1051584
X,1051256
X,1051636
X,1051531
X,1051355
X,1051098
X,1051176
X,1051355
X,1051221
X,1051466
X,1051464
X,1051415
X,1052738
X,1051339
X,1051398
X,1051226
X,1051315
X,1051341
X,1051318
X,1051349
X,1051324
X,1051416
X,1051471
X,1051503
X,1051331
X,1051244
X,1053086
X,1051165
X,1052259
X,1051164
X,1051672
X,1051745
X,1051321
X,1052658
X,1051186
X,1051313
X,1051112
X,1051340
X,1051104
X,1052104
X,1050887
X,1051852
X,1051581
X,1051572
X,1051504
X,1051199
X,1051261
X,1053414
X,1051192
X,1051277
X,1051486
X,1051513
X,1050985
X,1051399
X,1051448
X,1051455
X,1051305
X,1051701
X,1051594
X,1051380
X,1052893
X,1051312
X,1051097
X,1051337
X,1051440
X,1051673
X,1051914
X,1052263
X,1051277
X,1051030
X,1051261
X,1053103
X,1051311
X,1051787
X,1051491
X,1051383
X,1051113
X,1051823
X,1052129
X,1051645
X,1051364
X,1051294
X,1051330
X,1051078
X,1052248
X,1051550
X,1051279
X,1051323
X,1051440
X,1051623
X,1051959
X,1051369
X,1051339
X,1051298
X,1051476
X,1051644
X,1051371
X,1051662
X,1051604
X,1051697
X,1052259
X,1051471
X,1051725
X,1052057
X,1051583
X,1052377
X,1051248
X,1051341
X,1051400
X,1051436
X,1051151
X,1051180
X,1051779
X,1051366
X,1052186
X,1051405
X,1051414
X,1051776
X,1051425
X,1051341
X,1051312
X,1051275
X,1051377
X,1051398
X,1051400
X,1052522
X,1052001
X,1051313
X,1051514
X,1051474
X,1051629
X,1052160
X,1052066
X,1051100
X,1051216
X,1051245
X,1051402
X,1052186
X,1051405
X,1051705
X,1052455
X,1051165
X,1051415
X,1051411
X,1051155
X,1051270
X,1051234
X,1051347
X,1051149
X,1057091
X,1053877
X,1052708
X,1051511
X,1051230
X,1051747
X,1051309
X,1051197
X,1051682
X,1051795
X,1051808
X,1051490
X,1051718
X,1051579
X,1051330
X,1051865
X,1051436
X,1051170
X,1051439
X,1051607
X,1051462
X,1051925
X,1051108
X,1051085
X,1051417
X,1052246
X,1051305
X,1051408
X,1051342
X,1051365
X,1051179
X,1052349
X,1051343
X,1051474
X,1051303
X,1051316
X,1051376
X,1052435
X,1051449
X,1051282
X,1051257
X,1051343
X,1051494
X,1052191
X,1051170
X,1051345
X,1051343
X,1051475
X,1051367
X,1051412
X,1051175
X,1051442
X,1051314
X,1051352
X,1052340
X,1052878
X,1051537
X,1051235
X,1052970
X,1051039
X,1051288
X,1051467
X,1051328
X,1052750
X,1051066
X,1050782
X,1051235
X,1051668
X,1053125
X,1051454
X,1051430
X,1051276
X,1051374
X,1051286
X,1051295
X,1051225
X,1051178
X,1051268
X,1052072
X,1051761
X,1051200
X,1051225
X,1052625
X,1051944
X,1051352
X,1051425
X,1051322
X,1051386
X,1052161
X,1051042
X,1051372
X,1051402
X,1053186
X,1051296
X,1051228
X,1051779
X,1052513
X,1051416
X,1051328
X,1051319
X,1051266
X,1052369
X,1051591
X,1051569
X,1051362
X,1051515
X,1051333
X,1051216
X,1051320
X,1051492
X,1051319
X,1051474
X,1051337
X,1051360
X,1051624
X,1051255
X,1051218
X,1051591
X,1051655
X,1052317
X,1051743
X,1051255
X,1051939
X,1051375
X,1051286
X,1051276
X,1051228
X,1051286
X,1051362
X,1052803
X,1051764
X,1051353
X,1051320
X,1051325
X,1051137
X,1051966
X,1050913
X,1052115
X,1051582
X,1051189
X,1051681
X,1051302
X,1051455
X,1051202
X,1051349
X,1051131
X,1052017
X,1051537
X,1051251
X,1051251
X,1051258
X,1051226
X,1051315
X,1051252
X,1051792
X,1051324
X,1051277
X,1051477
X,1051529
X,1051344
X,1051473
X,1051374
X,1052530
X,1051514
X,1051613
X,1051575
X,1051134
X,1051413
X,1051494
X,1051351
X,1051576
X,1052542
X,1051292
X,1051503
X,1051584
X,1051370
X,1051248
X,1051416
X,1051226
X,1051464
X,1051246
X,1052830
X,1051389
X,1051316
X,1051296
X,1051683
X,1052356
X,1051181
X,1051252
X,1051168
X,1051082
X,1051354
X,1051731
X,1051316
X,1052662
X,1051369
X,1051357
X,1051292
X,1051446
X,1051418
X,1051400
X,1051425
X,1051707
X,1051136
X,1051652
X,1051240
X,1052310
X,1051269
X,1051269
X,1052796
X,1051339
X,1051315
X,1051284
X,1052872
X,1051185
X,1051240
X,1051474
X,1052130
X,1051291
X,1051271
X,1051347
X,1052294
X,1051372
X,1051327
X,1051322
X,1051700
X,1051295
X,1051701
X,1051207
X,1051880
X,1051430
X,1051243
X,1051369
X,1051241
X,1051262
X,1051305
X,1052606
X,1051279
X,1051572
X,1052689
X,1051829
X,1051232
X,1051285
X,1051332
X,1051327
X,1051194
X,1051418
X,1052444
X,1051330
X,1051283
X,1051310
X,1051311
X,1052408
X,1051287
X,1052551
X,1052637
X,1051396
X,1052155
X,1051421
X,1051230
X,1051241
X,1051400
X,1051688
X,1051321
X,1050913
X,1050958
X,1051230
X,1051409
X,1051105
X,1051369
X,1051426
X,1051326
X,1051350
X,1051702
X,1051334
X,1051308
X,1051416
X,1051251
X,1051445
X,1051380
X,1051607
