V1,V2
Y,894518.0
X,1029300.0
Y,1040421.0
X,1361267.0
X,989020.0
Y,913548.0
Y,859647.0
X,892567.0
X,882198.0
Y,1294735.0
X,991789.0
Y,863267.0
Y,966199.0
X,963669.0
Y,952249.0
X,907238.0
Y,1253104.0
X,1099042.0
Y,872578.0
X,1037560.0
X,1037150.0
X,929108.0
Y,959699.0
X,1022890.0
Y,995649.0
X,854567.0
Y,927318.0
X,1136863.0
Y,921559.0
X,1071150.0
Y,886177.0
X,892988.0
X,952699.0
Y,1024350.0
X,1053092.0
Y,922468.0
Y,854827.0
Y,999470.0
X,1009230.0
X,1033821.0
X,988720.0
Y,1044501.0
Y,905848.0
Y,847607.0
X,1008500.0
X,920079.0
X,1058451.0
Y,947148.0
Y,998830.0
Y,969839.0
X,888327.0
X,989020.0
X,1044131.0
X,952549.0
Y,860187.0
X,886317.0
X,967669.0
X,937349.0
X,848786.0
Y,1054670.0
Y,953519.0
X,894207.0
Y,983729.0
X,1456539.0
X,965739.0
X,913078.0
X,997160.0
X,888918.0
X,932589.0
X,1138133.0
X,1070781.0
Y,905858.0
X,885027.0
X,931839.0
X,960648.0
X,925548.0
X,940589.0
X,1219484.0
X,907678.0
X,912528.0
Y,1033051.0
X,1129622.0
X,911418.0
Y,975309.0
X,989509.0
Y,860207.0
X,960459.0
Y,1022270.0
X,1356786.0
Y,964599.0
Y,1001590.0
Y,984490.0
X,891478.0
Y,867287.0
Y,987900.0
Y,911558.0
X,1005690.0
Y,944308.0
X,1005350.0
Y,928138.0
X,989700.0
Y,1055750.0
X,1080641.0
Y,1260515.0
Y,943089.0
Y,1204594.0
Y,926399.0
X,881707.0
Y,877637.0
Y,1202564.0
Y,1292775.0
X,1004350.0
Y,1142503.0
X,900317.0
Y,865728.0
X,907978.0
Y,1020351.0
Y,923958.0
Y,974029.0
X,1019510.0
X,997020.0
X,866797.0
Y,911108.0
Y,959979.0
X,997970.0
Y,884818.0
X,1008600.0
Y,1018241.0
X,933678.0
X,1168403.0
Y,999659.0
X,897498.0
X,866046.0
Y,1034960.0
X,1108452.0
Y,951048.0
Y,982089.0
Y,1188364.0
Y,886358.0
X,873217.0
X,913858.0
Y,917628.0
Y,967679.0
Y,865917.0
Y,947919.0
X,989859.0
Y,889738.0
X,1091641.0
X,1081641.0
Y,869927.0
Y,863326.0
X,1038830.0
X,935099.0
X,964329.0
Y,900888.0
Y,1227204.0
Y,961889.0
X,1280505.0
Y,1077751.0
Y,991219.0
Y,912768.0
X,1019560.0
Y,1167133.0
X,984259.0
Y,997640.0
X,885207.0
X,926618.0
